,identificador,fecha_prestamo,estado_prestamo,riesgo_prestamo,clasificacion_estado_prestamo,duracion_prestamo_meses,grado,sub_grado,grado_codificado,sub_grado_codificado,estado_verificacion,estado_verificacion_imputado,estado_verificacion_binario,estado_direccion,regiones_direccion,prestamo_aceptado_EUR,interes_prestamo,pago_mensual_EUR,pago_efectuado_EUR,interes_prestamo_imputado,duracion_prestamo_meses_imputado,pago_mensual_imputado_EUR,pago_efectuado_imputado_EUR,prestamo_aceptado_USD,pago_mensual_USD,pago_efectuado_USD,pago_mensual_imputado_USD,pago_efectuado_imputado_USD,prestamo_aceptado_USD_imputado,pago_mensual_USD_imputado,pago_efectuado_USD_imputado,pago_mensual_imputado_USD_imputado,pago_efectuado_imputado_USD_imputado
10,12606806,6,Current,Bajo,Positivo,60,B,B5,1,9,Verified,Verified,Positivo,TX,south,24975,11.53067073,549.65,3831.55,11.53067073,60,549.65,3831.55,28029.35986,616.8703762,4300.135886,616.8703762,4300.135886,28029.35986,616.8703762,4300.135886,616.8703762,4300.135886
11,13026045,2,Current,Bajo,Positivo,60,C,C3,2,12,Source Verified,Source Verified,Positivo,SC,south,12000,13.33027274,275.07,2799.58,13.33027274,60,275.07,2799.58,13446.43307,308.225862,3137.030424,308.225862,3137.030424,13446.43307,308.225862,3137.030424,308.225862,3137.030424
12,14187903,2,Current,Bajo,Positivo,60,C,C5,2,14,Source Verified,Source Verified,Positivo,NY,east,12000,13.99,279.16,2846.33,13.99,60,279.1568016,2846.33,13446.43307,312.8088546,3189.415486,312.8052707,3189.415486,13446.43307,312.8088546,3189.415486,312.8052707,3189.415486
13,14428496,1,Current,Bajo,Positivo,60,C,C1,2,10,Verified,Verified,Positivo,NY,east,21000,12.39069291,471.29,5155.28,12.39069291,60,471.29,5155.28,23704.7056,531.9900333,5819.256889,531.9900333,5819.256889,23704.7056,531.9900333,5819.256889,531.9900333,5819.256889
14,14470171,4,Current,Bajo,Positivo,36,B,B4,1,8,Source Verified,Source Verified,Positivo,CA,west,21000,10.99064206,687.42,,10.99064206,36,687.42,2696.63496,23340.07609,764.0207193,,764.0207193,2997.126912,23340.07609,764.0207193,,764.0207193,2997.126912
15,14550531,10,Current,Bajo,Positivo,36,B,B1,1,5,Verified,Verified,Positivo,ENE,RNE,32000,8.180472022,1005.43,3089,8.180472022,36,1005.43,3089,35228.71017,1106.875065,3400.671429,1106.875065,3400.671429,35228.71017,1106.875065,3400.671429,1106.875065,3400.671429
16,14669896,1,Fully Paid,Bajo,Positivo,60,C,C1,2,10,Source Verified,Source Verified,Positivo,CA,west,21500,12.3905839,482.51,23855.94,12.3905839,60,482.51,23855.94,24269.10335,544.6551189,26928.47783,544.6551189,26928.47783,24269.10335,544.6551189,26928.47783,544.6551189,26928.47783
17,15389420,3,Late (31-120 days),Alto,Negativo,60,C,C4,2,13,Source Verified,Source Verified,Positivo,OK,south,15000,13.99,348.95,,13.99,60,348.946002,2520.117491,16245.36932,377.9214415,,377.9171116,2729.34929,16245.36932,377.9214415,,377.9171116,2729.34929
18,16130931,5,Fully Paid,Bajo,Positivo,36,C,C5,2,14,Verified,Verified,Positivo,NY,east,20000,13.33,677.07,21119.05,13.33,36,677.0624046,21119.05,21920.69054,742.0920971,23147.20797,742.0837723,23147.20797,21920.69054,742.0920971,23147.20797,742.0837723,23147.20797
19,19137119,6,Current,Bajo,Positivo,60,B,B4,1,8,Source Verified,Source Verified,Positivo,CA,west,27000,10.99068478,586.92,4075.47,10.99068478,60,586.92,4075.47,30302.01066,658.6983738,4573.886495,658.6983738,4573.886495,30302.01066,658.6983738,4573.886495,658.6983738,4573.886495
20,19646726,2,Current,Bajo,Positivo,36,A,A4,0,3,No especificado,Not Verified,Negativo,MI,midwest,28000,6.920397311,863.54,9472.03,6.920397311,36,863.54,9472.03,31375.01049,967.6277342,10613.75145,967.6277342,10613.75145,31375.01049,967.6277342,10613.75145,967.6277342,10613.75145
21,22403153,2,Charged Off,Alto,Negativo,36,C,C1,2,10,Not Verified,Not Verified,Negativo,MO,midwest,11200,12.29121486,373.56,1113.03,12.29121486,36,373.56,1113.03,12550.0042,418.5874614,1247.190283,418.5874614,1247.190283,12550.0042,418.5874614,1247.190283,418.5874614,1247.190283
22,25276117,1,Current,Bajo,Positivo,60,B,B2,1,6,Source Verified,Source Verified,Positivo,PA,east,28000,9.490344074,587.92,7040.28,9.490344074,60,587.92,7040.28,31606.27413,663.641453,7947.036415,663.641453,7947.036415,31606.27413,663.641453,7947.036415,663.641453,7947.036415
23,31207716,2,Current,Bajo,Positivo,60,C,C2,2,11,Verified,Verified,Positivo,CA,west,35000,12.69031587,790.82,8674.34,12.69031587,60,790.82,8674.34,39218.76311,886.1423499,9719.911018,886.1423499,9719.911018,39218.76311,886.1423499,9719.911018,886.1423499,9719.911018
24,31888135,11,Current,Bajo,Positivo,36,E,E4,4,23,Verified,Verified,Positivo,OK,south,4950,19.99,183.94,178.44,19.99,36,183.934517,178.44,5238.593942,194.6640343,188.8433743,194.6582316,188.8433743,5238.593942,194.6640343,188.8433743,194.6582316,188.8433743
25,34462110,2,Current,Bajo,Positivo,36,C,C1,2,10,Source Verified,Source Verified,Positivo,IN,midwest,14400,12.39104248,480.98,5280.87,12.39104248,36,480.98,5280.87,16135.71968,538.9554481,5917.405416,538.9554481,5917.405416,16135.71968,538.9554481,5917.405416,538.9554481,5917.405416
26,34883768,1,Current,Bajo,Positivo,36,A,A4,0,3,Not Verified,Not Verified,Negativo,PA,east,10300,7.490688266,320.35,3839.91,7.490688266,36,320.35,3839.91,11626.5937,361.6096399,4334.473146,361.6096399,4334.473146,11626.5937,361.6096399,4334.473146,361.6096399,4334.473146
27,35683282,1,Current,Bajo,Positivo,36,A,A2,0,1,Verified,Verified,Positivo,ENE,RNE,22400,6.49042049,686.44,8221.13,6.49042049,36,686.44,8221.13,25285.0193,774.8503862,9279.974586,774.8503862,9279.974586,25285.0193,774.8503862,9279.974586,774.8503862,9279.974586
28,36169417,1,Current,Bajo,Positivo,60,D,D1,3,15,Source Verified,Source Verified,Positivo,ENE,RNE,24000,15.59,578.42,6899.47,15.59,60,578.4179692,6899.47,27091.09211,652.9178958,7788.09072,652.9156034,7788.09072,27091.09211,652.9178958,7788.09072,652.9156034,7788.09072
29,36201871,1,Current,Bajo,Positivo,36,A,A1,0,0,Source Verified,Source Verified,Positivo,MA,east,21000,6.030401426,639.15,7655.73,6.030401426,36,639.15,7655.73,23704.7056,721.4696467,8641.753608,721.4696467,8641.753608,23704.7056,721.4696467,8641.753608,721.4696467,8641.753608
30,36241014,1,Current,Bajo,Positivo,60,B,B1,1,5,Verified,Verified,Positivo,SC,south,20000,8.670905758,411.98,4934.13,8.670905758,60,411.98,4934.13,22575.91009,465.041172,5569.623763,465.041172,5569.623763,22575.91009,465.041172,5569.623763,465.041172,5569.623763
31,36561402,7,Current,Bajo,Positivo,36,B,B3,1,7,Source Verified,Source Verified,Positivo,TN,south,9600,9.990016072,309.72,1852.99,9.990016072,36,309.72,1852.99,10501.67427,338.8102662,2027.03098,338.8102662,2027.03098,10501.67427,338.8102662,2027.03098,338.8102662,2027.03098
32,36763239,1,Current,Bajo,Positivo,60,D,D5,3,19,Verified,Verified,Positivo,ENE,RNE,15000,17.86,379.76,4527.35,17.86,60,379.759938,4527.35,16931.93257,428.6713808,5110.452328,428.6713108,5110.452328,16931.93257,428.6713808,5110.452328,428.6713108,5110.452328
33,36802496,1,Current,Bajo,Positivo,36,C,C1,2,10,Source Verified,Source Verified,Positivo,NC,south,7800,12.39081953,260.53,3120.99,12.39081953,36,260.53,3120.99,8804.604936,294.0850928,3522.959482,294.0850928,3522.959482,8804.604936,294.0850928,3522.959482,294.0850928,3522.959482
34,36806601,0,Current,Bajo,Positivo,36,B,B2,1,6,Verified,Verified,Positivo,TX,south,20000,9.490480527,640.57,7665.75,9.490480527,36,640.57,7665.75,,,,,,24197.25657,775.0018319,9274.505976,775.0018319,9274.505976
35,36950419,1,Current,Bajo,Positivo,60,D,D2,3,16,Source Verified,Source Verified,Positivo,CA,west,14000,15.99,340.38,4132.09,15.99,60,340.3784176,4132.09,15803.13706,384.2194138,4664.284616,384.2176276,4664.284616,15803.13706,384.2194138,4664.284616,384.2176276,4664.284616
36,37011266,1,Late (31-120 days),Alto,Negativo,36,D,D1,3,15,Verified,Verified,Positivo,NY,east,28000,15.59,978.74,8760.16,15.59,36,978.738619,8760.16,31606.27413,1104.797312,9888.429227,1104.795753,9888.429227,31606.27413,1104.797312,9888.429227,1104.795753,9888.429227
37,37051229,1,Current,Bajo,Positivo,60,B,B5,1,9,Verified,Verified,Positivo,AZ,west,30000,11.99053829,667.19,8366.84,11.99053829,60,667.19,8366.84,33863.86514,753.1210727,9444.451379,753.1210727,9444.451379,33863.86514,753.1210727,9444.451379,753.1210727,9444.451379
38,37068509,1,Current,Bajo,Positivo,36,C,C5,2,14,Verified,Verified,Positivo,MO,midwest,7000,14.99203589,242.63,2905.73,14.99203589,36,242.63,2905.73,7901.568532,273.8796533,3279.974961,273.8796533,3279.974961,7901.568532,273.8796533,3279.974961,273.8796533,3279.974961
39,37107114,1,Current,Bajo,Positivo,36,A,A2,0,1,Source Verified,Source Verified,Positivo,FL,south,25000,6.490765767,766.12,9175.41,6.490765767,36,766.12,9175.41,28219.88761,864.792812,10357.16156,864.792812,10357.16156,28219.88761,864.792812,10357.16156,864.792812,10357.16156
40,37257668,1,Current,Bajo,Positivo,36,A,A5,0,4,Source Verified,Source Verified,Positivo,GA,south,12000,8.190165529,377.09,4514.16,8.190165529,36,377.09,4514.16,13545.54605,425.6574968,5095.563515,425.6574968,5095.563515,13545.54605,425.6574968,5095.563515,425.6574968,5095.563515
41,37267742,1,No especificado,No especificado,Negativo,36,A,A5,0,4,Not Verified,Not Verified,Negativo,VA,south,12000,8.190165529,377.09,4545.79,8.190165529,36,377.09,4545.79,13545.54605,425.6574968,5131.267317,425.6574968,5131.267317,13545.54605,425.6574968,5131.267317,425.6574968,5131.267317
42,37329129,1,Late (31-120 days),Alto,Negativo,36,B,B5,1,9,Not Verified,Not Verified,Negativo,MS,south,8000,11.99097613,265.68,2911.82,11.99097613,36,265.68,2911.82,9030.364037,299.8983897,3286.849326,299.8983897,3286.849326,9030.364037,299.8983897,3286.849326,299.8983897,3286.849326
43,37600541,0,Current,Bajo,Positivo,36,A,A5,0,4,Verified,Verified,Positivo,MD,south,8000,8.19196888,251.4,3009.52,8.19196888,36,251.4,3009.52,,,,,,9678.902626,304.159515,3641.106379,304.159515,3641.106379
44,37601431,1,Current,Bajo,Positivo,60,C,C3,2,12,Source Verified,Source Verified,Positivo,GA,south,15000,13.66,346.39,4133.91,13.66,60,346.3853748,4133.91,16931.93257,391.0034748,4666.339024,390.998254,4666.339024,16931.93257,391.0034748,4666.339024,390.998254,4666.339024
45,37612109,1,Current,Bajo,Positivo,36,D,D4,3,18,Verified,Verified,Positivo,FL,south,11850,17.14,423.32,5057.27,17.14,36,423.3109404,5057.27,13376.22673,477.841713,5708.623641,477.8314865,5708.623641,13376.22673,477.841713,5708.623641,477.8314865,5708.623641
46,37612196,1,Current,Bajo,Positivo,60,B,B2,1,6,Source Verified,Source Verified,Positivo,IL,midwest,15000,9.490733893,314.96,3809.57,9.490733893,60,314.96,3809.57,16931.93257,355.5254321,4300.22549,355.5254321,4300.22549,16931.93257,355.5254321,4300.22549,355.5254321,4300.22549
47,37620643,1,Current,Bajo,Positivo,36,A,A2,0,1,Verified,Verified,Positivo,CA,west,24000,6.490289703,735.47,8808.33,6.490289703,36,735.47,8808.33,27091.09211,830.1952297,9942.803307,830.1952297,9942.803307,27091.09211,830.1952297,9942.803307,830.1952297,9942.803307
48,37621437,1,Current,Bajo,Positivo,36,E,E1,4,20,Verified,Verified,Positivo,CA,west,32000,18.54039705,1165.57,13920.92,18.54039705,36,1165.57,13920.92,36121.45615,1315.690176,15713.87192,1315.690176,15713.87192,36121.45615,1315.690176,15713.87192,1315.690176,15713.87192
49,37621803,1,Current,Bajo,Positivo,36,B,B2,1,6,Not Verified,Not Verified,Negativo,TX,south,4700,9.493234429,150.54,,9.493234429,36,150.54,883.4362787,5305.338871,169.9288753,,169.9288753,997.2189,5305.338871,169.9288753,,169.9288753,997.2189
50,37640409,1,Charged Off,Alto,Negativo,60,E,E3,4,22,Not Verified,Not Verified,Negativo,OR,west,11200,19.99,296.67,1174.24,19.99,60,296.6691825,1174.24,12642.50965,334.8797623,1325.476833,334.8788396,1325.476833,12642.50965,334.8797623,1325.476833,334.8788396,1325.476833
51,37641179,1,Current,Bajo,Positivo,36,A,A4,0,3,Source Verified,Source Verified,Positivo,CA,west,28000,7.490348495,870.85,10426.9,7.490348495,36,870.85,10426.9,31606.27413,983.0115652,11769.83785,983.0115652,11769.83785,31606.27413,983.0115652,11769.83785,983.0115652,11769.83785
52,37641650,1,Current,Bajo,Positivo,36,A,A5,0,4,Verified,Verified,Positivo,FL,south,35000,7.490192955,1088.56,13048.16,7.490192955,36,1088.56,13048.16,39507.84266,1228.761634,14728.70435,1228.761634,14728.70435,39507.84266,1228.761634,14728.70435,1228.761634,14728.70435
53,37651425,1,Current,Bajo,Positivo,36,D,D3,3,17,Verified,Verified,Positivo,FL,south,5150,16.49,182.31,2202.11,16.49,36,182.3070429,2202.11,5813.296849,205.7907084,2485.731869,205.7873704,2485.731869,5813.296849,205.7907084,2485.731869,205.7873704,2485.731869
54,37652106,1,Current,Bajo,Positivo,36,D,D1,3,15,Verified,Verified,Positivo,TX,south,25000,15.59,873.873767,10443.25,15.59,36,873.873767,10443.25,28219.88761,986.4247797,11788.29365,986.4247797,11788.29365,28219.88761,986.4247797,11788.29365,986.4247797,11788.29365
55,37671458,1,Current,Bajo,Positivo,36,A,A4,0,3,Verified,Verified,Positivo,NY,east,35000,7.490192955,1088.56,13033.59,7.490192955,36,1088.56,13033.59,39507.84266,1228.761634,14712.2578,1228.761634,14712.2578,39507.84266,1228.761634,14712.2578,1228.761634,14712.2578
56,37671833,1,Current,Bajo,Positivo,36,C,C2,2,11,No especificado,Not Verified,Negativo,FL,south,7500,12.99041059,252.67,3018.51,12.99041059,36,252.67,3018.51,8465.966284,285.2127601,3407.280518,285.2127601,3407.280518,8465.966284,285.2127601,3407.280518,285.2127601,3407.280518
57,37672125,1,Current,Bajo,Positivo,,A,A1,0,0,Not Verified,Not Verified,Negativo,WA,west,15000,,456.54,5468.43,28.99,60,476.0367352,5468.43,16931.93257,515.3402997,6172.739201,537.3481267,6172.739201,16931.93257,515.3402997,6172.739201,537.3481267,6172.739201
58,37680706,1,Current,Bajo,Positivo,36,A,A5,0,4,Verified,Verified,Positivo,CA,west,35000,8.190423152,1099.85,13183.54,8.190423152,36,1099.85,13183.54,39507.84266,1241.505736,14881.52069,1241.505736,14881.52069,39507.84266,1241.505736,14881.52069,1241.505736,14881.52069
59,37680875,1,Current,Bajo,Positivo,60,B,B1,1,5,Verified,Verified,Positivo,ENE,RNE,15000,8.670215788,308.98,3693.31,8.670215788,60,308.98,3693.31,16931.93257,348.775235,4168.991725,348.775235,4168.991725,16931.93257,348.775235,4168.991725,348.775235,4168.991725
60,37691298,1,Current,Bajo,Positivo,60,B,B1,1,5,Source Verified,Source Verified,Positivo,WI,midwest,25000,8.670491777,514.97,6155.56,8.670491777,60,514.97,6155.56,28219.88761,581.295821,6948.368456,581.295821,6948.368456,28219.88761,581.295821,6948.368456,581.295821,6948.368456
61,37691377,1,Current,Bajo,Positivo,60,B,B3,1,7,Verified,Verified,Positivo,IN,midwest,23600,10.49007297,507.14,6058.17,10.49007297,60,507.14,6058.17,26639.57391,572.4573522,6838.435062,572.4573522,6838.435062,26639.57391,572.4573522,6838.435062,572.4573522,6838.435062
62,37691997,1,Current,Bajo,Positivo,36,A,A2,0,1,Not Verified,Not Verified,Negativo,PA,east,8000,6.491205209,245.16,8164.08,6.491205209,36,245.16,8164.08,9030.364037,276.7355059,9215.576803,276.7355059,9215.576803,9030.364037,276.7355059,9215.576803,276.7355059,9215.576803
63,37692393,1,Current,Bajo,Positivo,60,B,B5,1,9,Not Verified,Not Verified,Negativo,OH,midwest,10000,11.44100131,219.63,2622.85,11.44100131,60,219.63,2622.85,11287.95505,247.9173567,2960.661289,247.9173567,2960.661289,11287.95505,247.9173567,2960.661289,247.9173567,2960.661289
64,37700602,1,Fully Paid,Bajo,Positivo,60,G,G5,6,34,Verified,Verified,Positivo,CA,west,26850,25.83,801.21,32358.25,25.83,60,801.2015659,32358.25,30308.1593,904.4022462,36525.84714,904.3927258,36525.84714,30308.1593,904.4022462,36525.84714,904.3927258,36525.84714
65,37730598,1,Current,Bajo,Positivo,36,C,C2,2,11,Not Verified,Not Verified,Negativo,CA,west,9600,,,3874.11,28.99,36,402.24265,3874.11,10836.43684,,4373.077952,454.049695,4373.077952,10836.43684,,4373.077952,454.049695,4373.077952
66,37731126,1,Fully Paid,Bajo,Positivo,60,D,D1,3,15,Source Verified,Source Verified,Positivo,CA,west,12000,15.59016004,289.21,13336.65,15.59016004,60,289.21,13336.65,13545.54605,326.4589479,15054.35057,326.4589479,15054.35057,13545.54605,326.4589479,15054.35057,326.4589479,15054.35057
67,37750229,0,Current,Bajo,Positivo,60,C,C4,2,13,Verified,Verified,Positivo,NY,east,32000,14.31,749.74,9801.44,14.31,60,749.7369132,9801.44,,,,,,38715.6105,907.0825569,11858.39792,907.0788223,11858.39792
68,37750958,1,Current,Bajo,Positivo,,A,A4,0,3,Verified,Verified,Positivo,OH,midwest,32000,,995.26,11909.83,28.99,60,1015.545035,11909.83,36121.45615,1123.445014,13443.76256,1146.34267,13443.76256,36121.45615,1123.445014,13443.76256,1146.34267,13443.76256
69,37751648,1,Current,Bajo,Positivo,36,A,A2,0,1,Source Verified,Source Verified,Positivo,CO,west,24000,6.490289703,735.47,8808.33,6.490289703,36,735.47,8808.33,27091.09211,830.1952297,9942.803307,830.1952297,9942.803307,27091.09211,830.1952297,9942.803307,830.1952297,9942.803307
70,37752011,1,Current,Bajo,Positivo,36,B,B5,1,9,Source Verified,Source Verified,Positivo,MA,east,25000,11.99013858,830.24,9929.57,11.99013858,36,830.24,9929.57,28219.88761,937.1711797,11208.45398,937.1711797,11208.45398,28219.88761,937.1711797,11208.45398,937.1711797,11208.45398
71,37811574,1,Current,Bajo,Positivo,60,B,B1,1,5,Source Verified,Source Verified,Positivo,MD,south,18000,8.670675769,370.78,4432.02,8.670675769,60,370.78,4432.02,20318.31908,418.5347972,5002.844252,418.5347972,5002.844252,20318.31908,418.5347972,5002.844252,418.5347972,5002.844252
72,37811673,1,Late (31-120 days),Alto,Negativo,36,D,D2,3,16,Verified,Verified,Positivo,CA,west,35000,15.99,1230.33,13041.12,15.99,36,1230.323367,13041.12,39507.84266,1388.790973,14720.75763,1388.783486,14720.75763,39507.84266,1388.790973,14720.75763,1388.783486,14720.75763
73,37821356,1,Current,Bajo,Positivo,60,E,E3,4,22,No especificado,Not Verified,Negativo,DE,south,11550,19.99,305.95,3645.75,19.99,60,305.9400945,3645.75,13037.58808,345.3549846,4115.306211,345.3438033,4115.306211,13037.58808,345.3549846,4115.306211,345.3438033,4115.306211
74,37841440,1,Current,Bajo,Positivo,36,B,B3,1,7,Source Verified,Source Verified,Positivo,GA,south,25000,10.49057604,812.45,8922.38,10.49057604,36,812.45,8922.38,28219.88761,917.0899077,10071.54243,917.0899077,10071.54243,28219.88761,917.0899077,10071.54243,917.0899077,10071.54243
75,37866237,1,Current,Bajo,Positivo,36,C,C4,2,13,Verified,Verified,Positivo,NC,south,28000,14.31,961.2,11489.88,14.31,36,961.1948366,11489.88,31606.27413,1084.998239,12969.72489,1084.992411,12969.72489,31606.27413,1084.998239,12969.72489,1084.992411,12969.72489
76,37866544,1,Current,Bajo,Positivo,60,C,C1,2,10,Verified,Verified,Positivo,AZ,west,20000,12.3909273,448.85,5372.43,12.3909273,60,448.85,5372.43,22575.91009,506.6598622,6064.374833,506.6598622,6064.374833,22575.91009,506.6598622,6064.374833,506.6598622,6064.374833
77,37887123,1,Charged Off,Alto,Negativo,36,C,C5,2,14,Not Verified,Not Verified,Negativo,NY,east,8000,12.39075264,267.21,1592.25,12.39075264,36,267.21,1592.25,9030.364037,301.6254468,1797.324642,301.6254468,1797.324642,9030.364037,301.6254468,1797.324642,301.6254468,1797.324642
78,37887364,1,Current,Bajo,Positivo,60,E,E2,4,21,No especificado,Not Verified,Negativo,NY,east,15000,19.24,391.1,4661.13,19.24,60,391.0918071,4661.13,16931.93257,441.4719218,5261.46259,441.4626737,5261.46259,16931.93257,441.4719218,5261.46259,441.4626737,5261.46259
79,37907332,1,Current,Bajo,Positivo,60,D,D3,3,17,Source Verified,Source Verified,Positivo,NY,east,21300,16.49031157,523.54,6243.45,16.49031157,60,523.54,6243.45,24043.34425,590.9695985,7047.578293,590.9695985,7047.578293,24043.34425,590.9695985,7047.578293,590.9695985,7047.578293
80,37917304,1,Current,Bajo,Positivo,36,A,A3,0,2,Verified,Verified,Positivo,NY,east,6000,6.991768281,185.24,2218.22,6.991768281,36,185.24,2218.22,6772.773027,209.0980793,2503.916764,209.0980793,2503.916764,6772.773027,209.0980793,2503.916764,209.0980793,2503.916764
81,37927296,1,Current,Bajo,Positivo,60,E,E5,4,24,Verified,Verified,Positivo,WI,midwest,10000,21.99,276.14,,21.99,60,276.1322666,1544.836363,11287.95505,311.7055906,,311.6968612,1743.804342,11287.95505,311.7055906,,311.6968612,1743.804342
82,37927549,1,Charged Off,Alto,Negativo,36,D,D3,3,17,Verified,Verified,Positivo,NY,east,35000,16.49,1238.98,6130.77,16.49,36,1238.979903,6130.77,39507.84266,1398.555054,6920.385616,1398.554945,6920.385616,39507.84266,1398.555054,6920.385616,1398.554945,6920.385616
83,37938334,1,Current,Bajo,Positivo,60,C,C4,2,13,Verified,Verified,Positivo,IL,midwest,18000,14.31,421.7270137,5087.88,14.31,60,421.7270137,5087.88,20318.31908,476.0435572,5743.176072,476.0435572,5743.176072,20318.31908,476.0435572,5743.176072,476.0435572,5743.176072
84,37948249,1,Current,Bajo,Positivo,36,C,C5,2,14,Not Verified,Not Verified,Negativo,OH,midwest,12000,14.99,415.93,4971.17,14.99,36,415.9251799,4971.17,13545.54605,469.4999142,5611.434348,469.4944734,5611.434348,13545.54605,469.4999142,5611.434348,469.4944734,5611.434348
85,37948610,0,Current,Bajo,Positivo,36,C,C3,2,12,Not Verified,Not Verified,Negativo,VA,south,4800,13.66,163.27,1951.95,13.66,36,163.2610916,1951.95,,,,,,5807.341576,197.534304,2361.591748,197.5235261,2361.591748
86,37958255,1,Current,Bajo,Positivo,,B,B5,1,9,Source Verified,Source Verified,Positivo,WA,west,10000,,332.1,4009.7,28.99,60,317.3578235,4009.7,11287.95505,374.8729871,4526.131335,358.2320845,4526.131335,11287.95505,374.8729871,4526.131335,358.2320845,4526.131335
87,37978181,1,Current,Bajo,Positivo,36,C,C4,2,13,Not Verified,Not Verified,Negativo,TX,south,12000,14.31,411.9406443,7548.35,14.31,36,411.9406443,7548.35,13545.54605,464.9967474,8520.543547,464.9967474,8520.543547,13545.54605,464.9967474,8520.543547,464.9967474,8520.543547
88,37998364,1,Current,Bajo,Positivo,36,C,C4,2,13,Not Verified,Not Verified,Negativo,CA,west,8400,14.31037871,288.36,3446.96,14.31037871,36,288.36,3446.96,9481.882238,325.4994717,3890.912952,325.4994717,3890.912952,9481.882238,325.4994717,3890.912952,325.4994717,3890.912952
89,37998603,6,Current,Bajo,Positivo,60,B,B3,1,7,Not Verified,Not Verified,Negativo,PA,east,24000,9.990762968,509.82,3555.42,9.990762968,60,509.82,3555.42,26935.12058,572.169299,3990.236101,572.169299,3990.236101,26935.12058,572.169299,3990.236101,572.169299,3990.236101
90,38018251,1,Current,Bajo,Positivo,60,B,B3,1,7,Source Verified,Source Verified,Positivo,PA,east,11200,10.49068402,240.68,2875.11,10.49068402,60,240.68,2875.11,12642.50965,271.678502,3245.411243,271.678502,3245.411243,12642.50965,271.678502,3245.411243,271.678502,3245.411243
